subject_ID,Disgust_Genuine_Expressional_Q1,Disgust_Genuine_Neutral_Q1,Disgust_Pretended_Expressional_Q1,Disgust_Pretended_Neutral_Q1,Disgust_Genuine_Expressional_Q2,Disgust_Genuine_Neutral_Q2,Disgust_Pretended_Expressional_Q2,Disgust_Pretended_Neutral_Q2,Disgust_Genuine_Expressional_Q3,Disgust_Genuine_Neutral_Q3,Disgust_Pretended_Expressional_Q3,Disgust_Pretended_Neutral_Q3,genuine_DCM_l_olfac_to_raIns,pretended_DCM_l_olfac_to_raIns
1,5.333333333,0,6.277777778,0,5.444444444,0,0.266666667,0,1.833333333,0,0.888888889,0,1.1345,0.1475
2,6.833333333,0,7.117647059,0.055555556,6.777777778,0,0.411764706,0.111111111,6.166666667,0,5.875,0.055555556,0.877,0.0251
3,5.470588235,0,5.941176471,0,4.833333333,0,0,0,4.722222222,0,5.222222222,0,0.748,0.6553
4,6.529411765,0,5.888888889,0,6.388888889,0,0.944444444,0,4.722222222,0,3.166666667,0,0.9576,0.3181
5,6.166666667,0,6.444444444,0,6,0,0,0,5.222222222,0,3.277777778,0,0.7265,0.6541
6,6.333333333,0,6.5625,0,5.470588235,0,0.3125,0,6.0625,0,5.0625,0,0.7273,0.5648
7,5.777777778,0,5.647058824,0,5.333333333,0,0.058823529,0,2.388888889,0,1.555555556,0,0.5589,0.7378
8,4.941176471,0,6.3125,0,4.5625,0,1,0,3.375,0.055555556,3.222222222,0,0.8752,0.4865
10,5.888888889,0.055555556,6.5,0.055555556,3.944444444,0,1.352941176,0.055555556,1.611111111,0,1.055555556,0,0.6802,0.8091
11,4.166666667,0,3.666666667,0,3.5,0,0.470588235,0,3.222222222,0.055555556,2.117647059,0,0.8376,0.8208
12,6.333333333,0.222222222,6.555555556,0,6.055555556,0.222222222,0,0,5.888888889,0,5.941176471,0.222222222,0.8697,0.685
13,6.388888889,0,6.388888889,0,5.833333333,0,0,0,0.944444444,0.055555556,0.222222222,0.055555556,0.7254,0.5716
14,6.611111111,0,7.388888889,0.222222222,6.611111111,0,0.222222222,0,6.277777778,0,7.388888889,0,0.7195,0.7313
15,7.111111111,0,7.333333333,0,6.388888889,0.055555556,0,0,3.5,0.055555556,0.611111111,0,0.9366,0.5918
17,6.5,0,6.444444444,0,6.5,0,0.388888889,0,4.833333333,0.111111111,3.444444444,0.111111111,0.6073,0.7481
19,6.5,0,5.055555556,0,6.5,0,0,0.222222222,5.722222222,0,3.375,0.222222222,0.7931,0.5868
20,3.333333333,0,3.611111111,0,2.555555556,0,0,0,0.444444444,0,0.166666667,0,0.9766,0.4264
22,7.055555556,0.222222222,5.058823529,0.235294118,8,0,2.055555556,0.277777778,5.444444444,0,2.666666667,0,0.7775,0.5817
23,5.777777778,0,5,0,6.055555556,0,0,0,4.722222222,0,1.722222222,0,0.8983,0.4909
25,4.833333333,0,5.055555556,0,4.888888889,0,0.333333333,0.055555556,0.388888889,0,0.111111111,0,0.8456,0.5296
26,6.055555556,0,6.333333333,0,6.333333333,0,0,0,4.944444444,0.388888889,1.777777778,0.111111111,0.8667,0.7124
27,5.705882353,0,5.555555556,0,5.777777778,0,0,0,4.333333333,0,3.444444444,0,0.8475,0.5226
28,5.764705882,0.352941176,5.833333333,0.111111111,5.176470588,0.352941176,1.166666667,0.055555556,5.705882353,0.588235294,5.833333333,0.333333333,0.5047,0.7722
29,3.941176471,0,3.833333333,0,3.8125,0,3.666666667,0,3.944444444,0,4,0.055555556,0.7529,0.7813
30,6.166666667,0,6.444444444,0.055555556,6,0,0.333333333,0,1.166666667,0,0.777777778,0,0.7691,0.6009
32,5.055555556,0,4.166666667,0,4.888888889,0,0,0,4.611111111,0,3,0,1.053,0.3585
33,6.444444444,0,6.222222222,0,6.166666667,0,0,0,5.777777778,0,4.722222222,0,0.8799,0.3867
34,7.066666667,0,6.5,0,6.4375,0,0.222222222,0,0.5,0,0.277777778,0,0.7819,0.5971
35,6.333333333,0,6,0.055555556,6.388888889,0,0.333333333,0,5.611111111,0,5,0.055555556,0.9535,0.4228
38,7.555555556,0,7.333333333,0,7.888888889,2.277777778,0.722222222,4.777777778,7.222222222,0.666666667,4.222222222,0.611111111,0.6115,0.871
39,5.444444444,0,4.722222222,0.055555556,5.611111111,0.111111111,0.222222222,0,3.833333333,0,2.823529412,0.111111111,1.0615,0.369
42,6.555555556,0,6.529411765,0,7.111111111,0,0,0,0.5,0,1.166666667,0,0.7252,0.7255
43,6.555555556,0,5.941176471,0,4.5,1.722222222,3.611111111,0.294117647,2.058823529,1.388888889,1.75,0.333333333,1.0528,0.393
44,5.705882353,0,5.647058824,0,6.111111111,0,0.25,0,3.166666667,0,2.444444444,0,0.5174,0.7504
45,4.666666667,0,4.444444444,0,3.111111111,0,1.166666667,0,2.333333333,0,1.055555556,0,0.8729,0.4531
46,6.352941176,0,6.235294118,0,5.823529412,0,0,0,0.444444444,0.222222222,0.722222222,0.055555556,0.8128,0.4829
47,6.722222222,0,6.666666667,0,6.722222222,0,0,0,6.166666667,0,1.777777778,0,0.5052,0.7443
48,5.111111111,0,4.722222222,0,4.235294118,0,0.117647059,0,3.944444444,0,2.5,0,0.7447,0.6763
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
